"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000106077",0.0214709421416515,0.192148886298844,5,0,0.154832312361689,1,1
"ENSG00000130733",2.85644921585045e-05,1,7,0,0.154763398983928,1,1
"ENSG00000070540",0.0356884779961115,0,2,2,-0.154718124733076,1,1
"ENSG00000164081",3.86740774617866e-09,1,4,0,0.15468678333006,1,1
"ENSG00000108523",0.000288934953746867,1,6,0,0.15450814927823,1,1
"ENSG00000173113",1.09220908458279e-08,0,2,2,-0.154308301222449,1,1
"ENSG00000100219",6.67555677204346e-14,1,4,0,-0.153977546558241,1,1
"ENSG00000116871",0.0339624328837746,1,7,0,0.153846412277899,1,1
"ENSG00000167113",3.06875604586673e-10,1,5,0,-0.152961862541757,1,1
"ENSG00000170906",1.45224858920894e-05,0.000644997054514403,4,1,-0.15255705358855,1,1
"ENSG00000185022",0.0312215884355595,0.297893835244816,4,0,0.152539750989479,1,1
"ENSG00000031823",0.0126640495275811,1,7,0,-0.152363969744141,1,1
"ENSG00000032389",7.89069135149261e-13,1,8,0,-0.152297166154562,1,1
"ENSG00000176597",2.06819056879155e-05,1,3,0,0.152189484698352,1,1
"ENSG00000167693",0.0138176990443143,1,5,0,0.151157605984917,1,1
"ENSG00000166352",1.67139888751362e-05,0.342925270244075,7,0,-0.151062643084411,1,1
"ENSG00000104763",6.48374762634421e-26,1,6,0,0.151012786914708,1,1
"ENSG00000168385",4.10611997011817e-07,0.696940413361078,10,0,-0.150620463288068,1,1
"ENSG00000100926",1.98043564582679e-07,0.0506415736979207,8,0,0.150608191638543,1,1
"ENSG00000177685",0.00221635659585814,0.321967861524441,9,0,0.150522967160042,1,1
"ENSG00000167700",0.0197416557320644,1,3,0,0.150109726785996,1,1
"ENSG00000140280",5.56751745615869e-07,1,5,0,0.150022887888729,1,1
"ENSG00000106853",3.57604397835679e-21,1,7,0,-0.149893224470626,1,1
"ENSG00000090054",0.000175872998535195,1,4,0,-0.149846407064229,1,1
"ENSG00000160972",0.0160858214446606,1,4,0,0.149835326821513,1,1
