"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_VIC01_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000152894",8.81216943271767e-12,0.46302507848318,5,0,0.717304360421474,0.833333333333333,0.5
"ENSG00000110777",0.000150759664540007,1,5,0,0.714205962024294,1,0.833333333333333
"ENSG00000185104",2.47861817977205e-19,5.72022705942787e-13,5,1,-0.713889183725365,1,0.833333333333333
"ENSG00000136449",0.00163999965821871,1,4,0,0.712656731888888,0.833333333333333,0.5
"ENSG00000173171",1.87717145628561e-17,1.70382014123283e-14,3,2,-0.71054635477695,1,1
"ENSG00000178307",1.04347652724816e-11,0.0480112175539822,3,1,-0.709556316595019,1,0.833333333333333
"ENSG00000131941",8.78604748037615e-08,1,3,0,-0.70933294977095,1,1
"ENSG00000172638",0.0100609712184403,0.00897134710430179,4,1,-0.708931432294378,1,0.833333333333333
"ENSG00000116977",0.00135639901072582,1,6,0,-0.707759985263759,1,0.666666666666667
"ENSG00000041357",6.78895987203269e-29,1.48388477277877e-10,5,2,0.707414278217899,1,1
"ENSG00000166037",1.96915703170524e-08,0.000558660504954636,4,1,-0.707304948004284,1,0.666666666666667
"ENSG00000187118",9.23260951704075e-27,1,4,0,0.707187416672281,1,1
"ENSG00000100979",1.54326664765214e-17,2.98819118988625e-08,4,1,-0.706954659862654,1,1
"ENSG00000167232",2.69572750342936e-13,6.16016405449173e-06,5,1,0.704796731007277,1,1
"ENSG00000164904",9.55218451721365e-46,0.00359221058563695,8,1,0.704755596134032,1,0.833333333333333
"ENSG00000186918",0.000134789141922662,0.401770827817178,4,0,-0.704213671438414,0.833333333333333,0.5
"ENSG00000139636",0.00239219251204975,1,4,0,0.703949597418077,0.833333333333333,0.5
"ENSG00000230124",1.18923964160395e-24,1,5,0,0.703941916031309,1,1
"ENSG00000186812",0.00126367609905969,0.0730619317595175,3,0,-0.703538283021656,1,0.833333333333333
"ENSG00000035681",0.000296100922946731,0.947742813045977,4,0,-0.701197766598062,0.833333333333333,0.666666666666667
"ENSG00000132561",0.00150749534007839,1,4,0,-0.700736378967233,1,0.666666666666667
"ENSG00000075151",1.87489816357917e-17,1,6,0,0.699999924009403,1,1
"ENSG00000125743",2.17806100672681e-05,0.0388910095725525,3,1,-0.69812618315247,1,0.833333333333333
"ENSG00000134058",1.60614513476061e-14,1,4,0,-0.696969264860038,1,0.833333333333333
"ENSG00000182118",0.00307459395444286,1,3,0,-0.696937754156919,0.833333333333333,0.5
"ENSG00000198960",2.10547321364249e-09,8.21452682337421e-07,4,1,-0.696921718029048,1,1
"ENSG00000110536",0.0150886733952057,0.0126326951123756,6,1,-0.696886840332603,0.833333333333333,0.666666666666667
"ENSG00000143379",0.000520198432786305,1,4,0,0.696605403990273,1,0.5
"ENSG00000146242",1.48008855536284e-09,1,3,0,0.695968297764002,1,1
"ENSG00000164808",8.2493002148266e-05,0.00100180072168412,5,1,-0.694290001053295,1,0.833333333333333
"ENSG00000213246",8.93521614607407e-23,3.90965709638099e-09,4,2,0.693828888763998,1,1
"ENSG00000141759",0.00559492508370666,0.245232757416887,4,0,0.693711355958617,1,0.833333333333333
"ENSG00000099810",4.57742855984733e-10,0.00180775104581493,4,1,-0.690743385783448,1,0.833333333333333
"ENSG00000004961",9.05048499860072e-17,0.102208327349088,5,0,0.690451458981639,1,1
"ENSG00000105865",0.0354204636781316,0.231257161078787,3,0,-0.68933333007494,1,0.666666666666667
"ENSG00000078369",5.60003874477538e-18,0.562374434436972,6,0,0.689185437002959,1,0.833333333333333
"ENSG00000156413",4.61956990291103e-12,1,5,0,0.688945179750328,1,0.5
"ENSG00000110987",0.00113759241048977,1,3,0,0.687778564676431,1,0.666666666666667
"ENSG00000101191",0.00463944712314615,0.195302074991125,3,0,0.68513177019687,1,0.833333333333333
"ENSG00000092820",8.05393327368697e-12,0.000264110313403891,4,2,-0.684678887008696,1,1
"ENSG00000185238",0.00134122310037561,0.349412738581705,4,0,0.683510471714144,1,0.666666666666667
"ENSG00000283103",7.06023987076761e-11,1,5,0,-0.683346739688127,1,1
"ENSG00000130414",6.78124380950299e-55,3.30530057370111e-35,3,1,0.682556828637439,1,1
"ENSG00000186474",1.56663508470891e-05,1,5,0,-0.682405969874228,1,0.666666666666667
"ENSG00000141030",3.43089809305131e-13,0.010322361237056,4,1,0.682399472133953,1,0.833333333333333
"ENSG00000135773",8.38912577056058e-05,0.00512996146256304,4,1,0.681817137374225,1,0.833333333333333
