"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000164144",0.00103934072940914,5.05293977566734e-05,6,1,-0.539932437198245,1,0.833333333333333
"ENSG00000029363",7.36883004168966e-09,1,9,0,-0.538459683041022,1,0.666666666666667
"ENSG00000044115",0.0183664840090171,0.315029523675398,4,0,0.536473710975682,1,0.666666666666667
"ENSG00000117395",2.94042775044745e-22,1,5,0,-0.536469365454516,1,1
"ENSG00000105894",0.000182632101053078,0.000786223952079417,3,1,0.534458171619137,1,1
"ENSG00000036054",9.24520782952915e-07,1,7,0,0.533794765452089,1,0.833333333333333
"ENSG00000100979",7.42932062163685e-07,0.00780608284309574,4,1,-0.5297028806554,1,0.833333333333333
"ENSG00000100359",1.38007921964574e-09,0.0579882978908645,7,0,0.527746467524491,1,1
"ENSG00000173486",2.95749779681245e-26,1.61450712151575e-13,4,1,-0.52455634537434,1,1
"ENSG00000196576",2.15591016494112e-08,0.00644317678777358,6,1,0.522839544943851,1,0.666666666666667
"ENSG00000157637",0.0030775273235209,1,5,0,0.522411619669479,1,0.666666666666667
"ENSG00000161533",0.0203484953187848,1,3,0,-0.521886751643181,0.833333333333333,0.5
"ENSG00000136830",0.0483323726074264,1,5,0,0.520293890906933,1,0.833333333333333
"ENSG00000087903",0.00608284731072874,1,4,0,-0.520117098907023,1,0.666666666666667
"ENSG00000137824",0.000425975329609222,0.0548315971514543,3,0,-0.519772241187758,1,0.833333333333333
"ENSG00000128699",0.0167267254632795,0.246641070110003,4,0,0.519179885949008,1,1
"ENSG00000136770",0.0248165405620292,0.169732254117286,4,0,0.518251701921375,0.833333333333333,0.666666666666667
"ENSG00000055211",0.00169884995655112,0,2,2,0.51615832307155,1,1
"ENSG00000079462",6.33852316115363e-15,4.47662165750048e-07,5,1,0.515869731034471,1,1
"ENSG00000116285",7.42730454734361e-10,1.52830313746725e-05,3,1,-0.512806821589778,1,1
"ENSG00000177917",0.0487859216754805,0.020177890302112,5,1,-0.511261741070257,1,1
"ENSG00000067082",0.000103472826318007,0.0204520586098473,3,1,0.508444172648893,1,1
"ENSG00000173801",2.93137374619673e-13,1,6,0,0.507845442705677,1,1
"ENSG00000178741",2.40578715380781e-45,5.58118087385702e-22,3,1,0.50631601366421,1,1
"ENSG00000196642",0.0090964003270735,0.0033310944332593,3,1,-0.503056795480633,1,1
"ENSG00000152763",3.18950583789893e-05,1,6,0,-0.50164604104867,1,0.666666666666667
"ENSG00000168765",0.00717025246230448,1,4,0,0.501218132485026,0.833333333333333,0.833333333333333
"ENSG00000099326",6.15991366274541e-06,0.18057260546201,4,0,-0.500763250913827,1,0.666666666666667
"ENSG00000006118",0.000686007524692882,0.021906037059303,3,1,-0.500559276978707,1,0.833333333333333
"ENSG00000278311",0.00355670461225787,1,7,0,-0.50015944211714,1,0.666666666666667
"ENSG00000106617",0.00935828407603447,1,7,0,-0.500012274654747,0.833333333333333,0.666666666666667
"ENSG00000169609",0.0060137855993692,1,6,0,-0.500004543072888,1,0.833333333333333
"ENSG00000132199",0.04969569543905,1,5,0,-0.500000000000005,1,0.666666666666667
"ENSG00000104973",0.00928477764294639,1,3,0,-0.5,1,0.833333333333333
"ENSG00000168961",0.00893014008463957,1,4,0,-0.5,0.833333333333333,0.833333333333333
"ENSG00000108384",3.18968023599057e-06,1,5,0,0.499884752281436,0.833333333333333,0.833333333333333
"ENSG00000070476",0.0403762035635767,0,2,2,0.499830971414815,1,0.833333333333333
"ENSG00000158234",0.000434766471256432,1,6,0,-0.498652253693117,1,0.833333333333333
"ENSG00000105223",7.69172262721822e-05,1,8,0,-0.497287377966427,1,0.666666666666667
"ENSG00000132470",3.91610544142909e-11,1,7,0,-0.497286514466174,1,0.666666666666667
"ENSG00000214022",0.001161863980136,1,7,0,-0.497131273606819,1,0.833333333333333
"ENSG00000169221",0.0222237502753489,1,3,0,-0.493097050167041,1,1
"ENSG00000025708",3.99967221368469e-38,3.04084002652227e-09,7,1,0.492017303427911,1,1
"ENSG00000075151",2.99927134848216e-09,1,8,0,0.491525421199761,1,0.833333333333333
"ENSG00000142188",0.0133634598139445,1,4,0,-0.491048732764418,1,1
