"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000104529",3.08061334738496e-24,1.36883076694076e-21,3,2,-0.373591008890664,1,1
"ENSG00000120708",0.00142684694798906,0.120226110314516,4,0,-0.373452529427878,1,1
"ENSG00000054282",0.0139933227741451,0.462440134245006,3,0,0.372864113039335,1,1
"ENSG00000137269",0.0330613902035789,1,3,0,-0.372421284213885,0.833333333333333,0.666666666666667
"ENSG00000145982",0.0298947339965184,0.0234910019440537,4,1,0.371232671500142,1,1
"ENSG00000167693",0.0301475083627525,0.39151572846413,3,0,0.36984034862809,1,1
"ENSG00000113758",0.0227152382259473,0.56835577109285,3,0,-0.369724426989906,1,0.833333333333333
"ENSG00000184110",1.52417555254217e-18,0.0923006409941134,5,0,0.369717663025533,1,1
"ENSG00000213096",6.12061943640021e-05,1,8,0,-0.369514972234949,1,0.666666666666667
"ENSG00000025708",1.29447402637276e-12,2.98456769930378e-06,5,1,0.368823630740672,1,1
"ENSG00000130429",2.98085564307643e-47,2.10963082819853e-25,5,1,-0.368203354379906,1,1
"ENSG00000221914",1.68449968239898e-06,0.00368731730740896,5,1,-0.366441815018684,1,1
"ENSG00000196344",7.54932620265767e-42,7.58234339122842e-10,6,1,-0.366081331418167,1,1
"ENSG00000102144",1.67890447743202e-07,1.03144403774231e-08,3,2,-0.3660745215169,1,1
"ENSG00000006118",5.26058527694664e-06,0.016980746835889,3,1,0.365987138755997,1,1
"ENSG00000153250",4.93983861442879e-07,1,8,0,-0.36091957363309,1,1
"ENSG00000168476",1.57862274907316e-08,0.535978716355985,3,0,-0.360540705640871,1,1
"ENSG00000122861",0.0386203377748788,0.00974306111588149,3,2,0.359452728300007,1,1
"ENSG00000143321",6.40015604746359e-05,0.0155229653343229,7,1,0.359313286459576,1,1
"ENSG00000050820",1.59259410821037e-06,0.594046609248908,6,0,0.35850242828864,1,1
"ENSG00000164172",2.38548754029727e-07,1,5,0,0.357207400872365,1,1
"ENSG00000196873",0.00142684694798906,1,7,0,-0.357142857116245,1,0.833333333333333
"ENSG00000149201",0.0216741841653176,1,4,0,0.356675762603663,0.833333333333333,0.833333333333333
"ENSG00000132581",1.48239750146403e-08,1,4,0,0.356661705567315,1,1
"ENSG00000100083",4.89104130907047e-05,0.129118232513616,5,0,0.354995431406852,1,0.833333333333333
"ENSG00000102854",6.80948144961656e-15,1,7,0,-0.354657295371975,1,1
"ENSG00000109381",0.0243933534807164,0.367140285076083,3,0,-0.354373727467061,1,0.833333333333333
"ENSG00000147592",0.000982427219029377,0,2,2,0.35257545262011,1,1
"ENSG00000178950",0.000296188355407636,0.199751074798389,7,0,-0.352508576786095,1,1
"ENSG00000005486",6.52767532282112e-06,0.238643954091172,5,0,-0.351851747969928,1,1
"ENSG00000136536",0.010618579528538,0.00497245072084848,4,2,0.350998199912478,1,1
"ENSG00000093010",1.17428406569512e-08,0.00433072013860246,7,1,0.350599984327052,1,1
"ENSG00000188690",0.00202233892365096,0.0151848045750084,5,1,0.35045075431715,1,1
"ENSG00000140650",0.0125068928774206,1,4,0,-0.350316123005056,1,1
"ENSG00000161999",0.00114231506440538,0.0492727782022199,10,1,0.34983895898049,1,1
"ENSG00000077150",0.00372109196146406,0.698912353225305,6,0,-0.349119830407946,1,1
"ENSG00000102024",0.0414792854656877,0.0111840258756527,3,2,0.348647064943517,1,1
"ENSG00000146282",1.40396534664576e-06,0.0023828273447711,6,1,-0.348374510562938,1,1
"ENSG00000165175",0.0104209269690254,0.00192815011985175,3,2,-0.347515825383527,1,1
"ENSG00000100304",0.0106281441163822,0,2,2,0.347143854097614,1,1
"ENSG00000119335",0.000251400011995561,0.0369406135447581,3,1,0.346938340410605,1,1
"ENSG00000104886",0.00167532498493162,1,7,0,-0.346768417577389,1,1
"ENSG00000107521",0.000483998636605195,0.0257495594000792,6,1,0.3455886495954,1,1
"ENSG00000159346",1.26197618467828e-15,8.31443388848693e-05,4,1,-0.345544874997117,1,1
"ENSG00000141867",0.00494218058152859,0,2,2,-0.345347763303562,1,1
